Proportion of cell types between patient samples of scRNA-seq data (GSE131907),,,,
,sample,celltype,count,proportion
133,LUNG_N30,NK cells,577,14.94431494
134,LUNG_N31,B cells,15,0.35697287
135,LUNG_N31,T cells,660,15.70680628
136,LUNG_N31,Macrophages,968,23.03664921
137,LUNG_N31,Monocytes,240,5.711565921
138,LUNG_N31,DC,132,3.141361257
139,LUNG_N31,Epithelial cells,539,12.82722513
140,LUNG_N31,Endothelial cells,180,4.283674441
141,LUNG_N31,Fibroblasts,854,20.3236554
142,LUNG_N31,MAST cells,28,0.666349357
143,LUNG_N31,NK cells,586,13.94574012
144,LUNG_N34,B cells,43,0.831078469
145,LUNG_N34,T cells,1038,20.0618477
146,LUNG_N34,Macrophages,1261,24.3718593
147,LUNG_N34,Monocytes,406,7.846926942
148,LUNG_N34,DC,88,1.700811751
149,LUNG_N34,Epithelial cells,656,12.67877851
150,LUNG_N34,Endothelial cells,94,1.816776189
151,LUNG_N34,Fibroblasts,183,3.536915346
152,LUNG_N34,MAST cells,64,1.236954001
153,LUNG_N34,NK cells,1341,25.9180518
154,LUNG_T06,B cells,519,15.24229075
155,LUNG_T06,T cells,1370,40.2349486
156,LUNG_T06,Macrophages,399,11.71806167
157,LUNG_T06,Monocytes,45,1.321585903
158,LUNG_T06,DC,135,3.964757709
159,LUNG_T06,Epithelial cells,134,3.935389134
160,LUNG_T06,Endothelial cells,56,1.644640235
161,LUNG_T06,Fibroblasts,487,14.30249633
162,LUNG_T06,MAST cells,95,2.790014684
163,LUNG_T06,NK cells,165,4.845814978
164,LUNG_T08,B cells,1022,27.40681148
165,LUNG_T08,T cells,2089,56.0203808
166,LUNG_T08,Macrophages,183,4.907481899
167,LUNG_T08,Monocytes,15,0.402252615
168,LUNG_T08,DC,67,1.796728345
169,LUNG_T08,Epithelial cells,26,0.697237865
170,LUNG_T08,Endothelial cells,14,0.375435774
171,LUNG_T08,Fibroblasts,201,5.390185036
172,LUNG_T08,MAST cells,92,2.46714937
173,LUNG_T08,NK cells,20,0.53633682
174,LUNG_T09,B cells,150,3.937007874
175,LUNG_T09,T cells,1805,47.37532808
176,LUNG_T09,Macrophages,1238,32.49343832
177,LUNG_T09,Monocytes,122,3.202099738
178,LUNG_T09,DC,85,2.230971129
179,LUNG_T09,Epithelial cells,113,2.965879265
180,LUNG_T09,Endothelial cells,30,0.787401575
181,LUNG_T09,Fibroblasts,20,0.524934383
182,LUNG_T09,MAST cells,56,1.469816273
183,LUNG_T09,NK cells,191,5.01312336
184,LUNG_T18,B cells,269,7.860900058
185,LUNG_T18,T cells,993,29.01811806
186,LUNG_T18,Macrophages,880,25.71595558
187,LUNG_T18,Monocytes,52,1.519579193
188,LUNG_T18,DC,64,1.870251315
189,LUNG_T18,Epithelial cells,763,22.2969024
190,LUNG_T18,Endothelial cells,17,0.496785506
191,LUNG_T18,Fibroblasts,198,5.786090006
192,LUNG_T18,MAST cells,86,2.513150205
193,LUNG_T18,NK cells,100,2.92226768
194,LUNG_T19,B cells,421,9.736355227
195,LUNG_T19,T cells,1505,34.80573543
196,LUNG_T19,Macrophages,792,18.31637373
197,LUNG_T19,Monocytes,182,4.20906568
198,LUNG_T19,DC,204,4.717853839
199,LUNG_T19,Epithelial cells,304,7.03052729
200,LUNG_T19,Endothelial cells,160,3.700277521
201,LUNG_T19,Fibroblasts,113,2.613320999
202,LUNG_T19,MAST cells,428,9.898242368
203,LUNG_T19,NK cells,215,4.972247919
204,LUNG_T20,B cells,53,1.340753858
205,LUNG_T20,T cells,2328,58.89198077
206,LUNG_T20,Macrophages,740,18.71995952
207,LUNG_T20,Monocytes,49,1.239564887
208,LUNG_T20,DC,104,2.63091323
209,LUNG_T20,Epithelial cells,474,11.99089299
210,LUNG_T20,Endothelial cells,3,0.075891728
211,LUNG_T20,Fibroblasts,18,0.455350367
212,LUNG_T20,MAST cells,83,2.099671136
213,LUNG_T20,NK cells,101,2.555021503
214,LUNG_T25,B cells,1659,38.22580645
215,LUNG_T25,T cells,1553,35.78341014
216,LUNG_T25,Macrophages,397,9.147465438
217,LUNG_T25,Monocytes,125,2.880184332
218,LUNG_T25,DC,63,1.451612903
219,LUNG_T25,Epithelial cells,217,5
220,LUNG_T25,Endothelial cells,32,0.737327189
221,LUNG_T25,Fibroblasts,19,0.437788018
222,LUNG_T25,MAST cells,182,4.193548387
223,LUNG_T25,NK cells,93,2.142857143
224,LUNG_T28,B cells,595,13.01399825
225,LUNG_T28,T cells,1427,31.21172353
226,LUNG_T28,Macrophages,864,18.8976378
227,LUNG_T28,Monocytes,96,2.099737533
228,LUNG_T28,DC,25,0.546806649
229,LUNG_T28,Epithelial cells,1119,24.47506562
230,LUNG_T28,Endothelial cells,30,0.656167979
231,LUNG_T28,Fibroblasts,62,1.35608049
232,LUNG_T28,MAST cells,154,3.368328959
233,LUNG_T28,NK cells,200,4.374453193
234,LUNG_T30,B cells,115,2.81793678
235,LUNG_T30,T cells,1235,30.26219064
236,LUNG_T30,Macrophages,715,17.52021563
237,LUNG_T30,Monocytes,89,2.18083803
238,LUNG_T30,DC,142,3.479539329
239,LUNG_T30,Epithelial cells,870,21.31830434
240,LUNG_T30,Endothelial cells,156,3.822592502
241,LUNG_T30,Fibroblasts,75,1.837784857
242,LUNG_T30,MAST cells,479,11.73731928
243,LUNG_T30,NK cells,205,5.023278608
244,LUNG_T31,B cells,460,8.328806808
245,LUNG_T31,T cells,3478,62.97302191
246,LUNG_T31,Macrophages,285,5.160239001
247,LUNG_T31,Monocytes,40,0.72424407
248,LUNG_T31,DC,71,1.285533225
249,LUNG_T31,Epithelial cells,243,4.399782727
250,LUNG_T31,Endothelial cells,148,2.67970306
251,LUNG_T31,Fibroblasts,493,8.926308166
252,LUNG_T31,MAST cells,120,2.172732211
253,LUNG_T31,NK cells,185,3.349628825
254,LUNG_T34,B cells,36,1.155327343
255,LUNG_T34,T cells,295,9.467265725
256,LUNG_T34,Macrophages,237,7.605905006
257,LUNG_T34,Monocytes,18,0.577663671
258,LUNG_T34,DC,42,1.3478819
259,LUNG_T34,Epithelial cells,2330,74.77535302
260,LUNG_T34,Endothelial cells,20,0.641848524
261,LUNG_T34,Fibroblasts,29,0.930680359
262,LUNG_T34,MAST cells,39,1.251604621
263,LUNG_T34,NK cells,70,2.246469833
