,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NDRG1,0.048421911,-1.113768861,0.252,0.193,1
PNRC1,1.66E-26,-1.124322481,0.925,0.79,4.29E-22
CFLAR,0.000591364,-1.125345086,0.606,0.488,1
FOSL2,0.187885611,-1.126984301,0.39,0.33,1
KDM6B,0.000861067,-1.129558897,0.524,0.444,1
ELL2,0.40727971,-1.133739215,0.341,0.288,1
OAZ2,0.148748076,-1.135556619,0.411,0.336,1
NFKBID,0.787908504,-1.137110293,0.263,0.227,1
RNF145,0.298442946,-1.138962575,0.282,0.248,1
RP11-386I14.4,0.813667058,-1.141519235,0.257,0.221,1
METRNL,0.674672352,-1.14227917,0.355,0.28,1
NPL,0.418113326,-1.145185708,0.545,0.392,1
DNPH1,0.041371857,-1.147118319,0.386,0.333,1
C10orf54,0.574438749,-1.160873344,0.385,0.316,1
FYB,2.86E-13,-1.171230425,0.695,0.587,7.42E-09
AHR,0.017281101,-1.205529703,0.414,0.355,1
C15orf48,0.105280417,-1.221680304,0.723,0.573,1
CD14,0.267342914,-1.222272576,0.803,0.623,1
TWISTNB,3.61E-09,-1.240864268,0.386,0.243,9.36E-05
PPIF,0.331493273,-1.264279881,0.423,0.343,1
NRP2,0.131801425,-1.264914966,0.315,0.279,1
RAP2B,0.000276066,-1.278661619,0.428,0.376,1
PRCP,0.013112894,-1.279532087,0.305,0.281,1
BTG1,2.60E-58,-1.281267112,0.968,0.87,6.76E-54
NFKBIA,2.78E-16,-1.314756851,0.973,0.827,7.21E-12
CSF1R,0.00011834,-1.329844187,0.492,0.419,1
PMP22,0.000501755,-1.335282518,0.454,0.398,1
PEA15,0.000154077,-1.340466715,0.428,0.378,1
BMP2K,0.109347295,-1.341736615,0.311,0.273,1
CXCL8,7.85E-09,-1.362628083,0.878,0.742,0.000203603
C1orf54,0.260222347,-1.366954848,0.316,0.274,1
CCL5,7.08E-10,-1.377461923,0.298,0.184,1.84E-05
INSIG1,0.98901101,-1.396961648,0.355,0.295,1
AP1S2,1.71E-19,-1.402802709,0.62,0.557,4.44E-15
SOD2,1.31E-32,-1.409879144,0.916,0.79,3.40E-28
SORL1,0.00729818,-1.410787619,0.302,0.28,1
FOSB,1.97E-18,-1.42766052,0.798,0.677,5.11E-14
FPR3,2.53E-08,-1.449355636,0.459,0.425,0.000656109
SGK1,1.97E-09,-1.45407756,0.699,0.576,5.11E-05
SH3KBP1,0.008996508,-1.459075031,0.25,0.242,1
PIM3,0.000618461,-1.467112113,0.377,0.341,1
MS4A6A,1.60E-39,-1.486872447,0.837,0.756,4.16E-35
RP11-160E2.6,0.821640017,-1.510039482,0.286,0.242,1
EGR1,1.15E-05,-1.528584079,0.564,0.495,0.297719467
RB1,0.019740263,-1.557437317,0.288,0.267,1
MMP14,0.000312644,-1.585821525,0.251,0.255,1
IL1B,0.781757116,-1.625532748,0.7,0.533,1
MAF,0.001994356,-1.638958022,0.308,0.291,1
TNFAIP3,8.58E-18,-1.653210046,0.595,0.547,2.23E-13
HBB,2.86E-38,-1.657138586,0.393,0.19,7.41E-34
FNIP2,4.93E-10,-1.729410065,0.29,0.316,1.28E-05
CREM,0.000426489,-1.736169386,0.514,0.429,1
CXCL2,2.06E-12,-1.745153761,0.714,0.622,5.34E-08
NFKB1,2.45E-08,-1.807957139,0.361,0.355,0.000635511
CD84,2.83E-10,-1.812916739,0.328,0.342,7.33E-06
CCL20,0.003461921,-1.823394286,0.328,0.322,1
TNFRSF1B,5.67E-07,-1.849931942,0.232,0.256,0.014700137
RNASE6,1.29E-22,-1.883800849,0.406,0.445,3.35E-18
SOCS3,1.17E-11,-1.898139558,0.338,0.361,3.03E-07
ATF5,4.02E-06,-1.904512125,0.249,0.265,0.104318586
